x,U235,Pu239,U238,Pu241
151.134,73.395,16.3437,7.68989,3.20271
503.778,72.4278,17.2996,7.68423,3.19705
1007.56,71.4582,18.2531,7.67616,3.18898
2015.11,68.878,20.5721,7.66001,3.17283
3022.67,66.9387,22.3875,7.64387,3.49323
4030.23,64.9995,24.038,7.62772,3.78157
5037.78,63.0603,25.3039,7.61157,3.78145
6045.34,61.4416,26.5698,7.59543,4.10184
7002.52,59.8237,27.7724,7.58009,4.69547
8010.08,58.205,29.0383,7.56394,4.99984
9017.63,56.9068,29.9837,7.54779,5.32023
9974.81,55.2889,30.9299,7.53245,5.60938
10982.4,54.3112,31.8753,7.82156,5.91374
12040.3,53.0122,32.8199,7.49935,6.23333
12997.5,51.7148,33.7661,7.48401,6.52248
14005,51.0576,34.3909,7.78838,6.50633
14962.2,49.7602,34.6801,7.77304,7.09996
16020.2,48.7817,35.3522,7.74006,7.75609
16977.3,47.8049,35.9459,7.42024,7.74075
17984.9,46.8272,36.5708,7.7246,8.04511
18992.4,45.529,37.5161,7.70845,8.34948
20000,44.5513,37.8374,7.69231,8.67072
