E,phi
1.01307,1.06471
1.02832,1.02413
1.04159,0.982187
1.05953,0.932131
1.07321,0.887486
1.08705,0.848253
1.10814,0.792785
1.13443,0.742728
1.15392,0.722435
1.17125,0.700789
1.19136,0.681849
1.2144,0.664262
1.24843,0.64938
1.28614,0.637204
1.32217,0.627734
1.3679,0.62097
1.41821,0.616911
1.46724,0.615558
1.51796,0.615558
1.57044,0.615558
1.62819,0.614205
1.68448,0.614205
1.75013,0.614205
1.81065,0.610147
1.87723,0.608794
1.95456,0.603382
2.0394,0.597971
2.15525,0.585795
2.27286,0.570913
2.45362,0.539797
2.59308,0.507328
2.76396,0.454566
2.84754,0.426156
2.98402,0.378805
3.14041,0.319278
3.32612,0.262458
3.47071,0.224577
3.54534,0.205637
3.61388,0.18805
3.69943,0.170462
3.79504,0.155581
3.89312,0.140699
4.00223,0.125817
4.11438,0.112289
4.22967,0.100113
4.35743,0.0892897
4.48902,0.0811725
4.64429,0.0717024
4.7947,0.064938
4.96053,0.0568207
5.12118,0.0514092
5.29829,0.0446449
5.48149,0.0405862
5.67103,0.0365276
5.86712,0.032469
6.0829,0.0284104
6.27987,0.0257046
6.51082,0.0229989
6.73592,0.021646
6.98363,0.0189402
7.20975,0.0175874
7.47487,0.0162345
7.74976,0.0135287
8.01768,0.0135287
8.29487,0.0121759
8.58167,0.00947012
8.89723,0.00947012
9.22441,0.00811725
