E,phi_exact
1.01091,1.06878
1.01307,1.06201
1.01741,1.05119
1.02395,1.0282
1.03052,1.01467
1.03714,0.998443
1.04603,0.975449
1.05502,0.944338
1.06181,0.91999
1.07321,0.887527
1.08012,0.859121
1.08937,0.844244
1.09636,0.826661
1.10342,0.80096
1.11761,0.78338
1.12961,0.750917
1.13928,0.737393
1.1564,0.710345
1.17626,0.687356
1.19646,0.668426
1.21441,0.657611
1.25377,0.63869
1.28889,0.629236
1.33631,0.619787
1.39432,0.6144
1.45175,0.611718
1.53745,0.610399
1.57714,0.610414
1.63513,0.610435
1.74272,0.610473
1.8261,0.609147
1.91754,0.60647
2.02645,0.598386
2.10545,0.591644
2.22033,0.579499
2.32662,0.563292
2.37661,0.553834
2.41736,0.549786
2.44841,0.540323
2.52239,0.522753
2.60414,0.503832
2.68285,0.48085
2.75808,0.459221
2.84753,0.428123
2.95244,0.388911
2.99674,0.374038
3.06773,0.348347
3.15379,0.3186
3.25609,0.284797
3.34031,0.257755
3.48555,0.213135
3.59092,0.188801
3.66033,0.172577
3.68376,0.168523
3.74697,0.156357
3.8602,0.137434
3.95997,0.122567
4.08829,0.106352
4.22974,0.0914899
4.37604,0.0820398
4.49865,0.071233
4.65423,0.0631358
4.95007,0.0496432
5.27589,0.0375048
5.64707,0.0280746
5.99317,0.0240509
6.55252,0.0159861
6.89524,0.0146632
7.25591,0.0119874
7.70059,0.00931661
8.13786,0.00799618
8.5272,0.00667076
